1001,可口可乐美汁源,可口可乐（Coca-Cola）,中国大陆,280,7,N,82.8,1,orange juice
1002,农夫山泉100%NFC橙汁300ml*24瓶 整箱,农夫山泉,中国大陆,40,8,N,168,1,orange juice
1003,农夫山泉【京东超市】农夫山泉NFC果汁 100%NFC橙汁300ml*10瓶 礼盒,农夫山泉,中国大陆,240,6,N,70,1,orange juice
1004,农夫山泉NFC果汁 17.5°橙汁 礼盒装330ml*4瓶,农夫山泉,中国大陆,300,6,N,55.6,1,orange juice
1005,塞浦丽娜橙汁,塞浦丽娜（Cyprina）,塞浦路斯,210,7,N,49.9,1,orange juice
1006,纯果芬进口果汁,纯果芬,塞浦路斯,130,8,N,12.9,1,orange juice
1007,爱美可进口果汁,爱美可（Amecke）,德国,30,8,N,55,1,orange juice
1008,统一饮料,统一,中国大陆,250,6,N,41,1,orange juice
1009,可口可乐美汁源 酷儿Qoo 橙汁饮料 300ml*12,可口可乐（Coca-Cola）,中国大陆,190,9,N,31.9,1,orange juice
1010,统一鲜橙多,统一,中国大陆,250,8,N,28.8,1,orange juice
1011,统一饮料,统一,中国大陆,50,6,N,54.9,1,orange juice
1012,汇源果汁,汇源,中国大陆,220,8,N,73.4,1,orange juice
1013,农夫山泉17.5°100%鲜果冷压榨橙汁950ml/瓶,农夫山泉,杭州,240,8,N,32.8,1,orange juice
1014,农夫山泉农夫山泉NFC果汁 100%NFC橙汁900ml*4瓶 礼盒,农夫山泉,中国大陆,140,7,N,86,1,orange juice
1015,九日【京东超市】韩国九日牌加糖橙汁果肉饮料 进口礼盒装果汁238ml*12瓶,九日（jiur）,韩国,280,9,N,47.9,1,orange juice
1016,爱美可进口果汁,爱美可（Amecke）,德国,90,7,N,165,1,orange juice
1017,玛丽橙汁饮料,玛丽（MALEE）,泰国,170,7,N,69,1,orange juice
1018,帕玛拉特圣涛饮料,帕玛拉特圣涛（Parmalat）,意大利,150,9,N,79.9,1,orange juice
1019,味全每日C果汁橙汁,味全,?浙江省杭州市,290,8,N,31.8,1,orange juice
1020,果倍爽饮料,果倍爽,中国北京,210,6,N,24,1,orange juice
1021,NEU,NEU,德国,120,9,N,149,1,orange juice
1022,爱美可进口果汁,爱美可（Amecke）,德国,210,10,N,55,1,orange juice
1023,普瑞达橙汁礼盒,普瑞达,塞浦路斯,50,9,N,43.9,1,orange juice
1024,大湖100%果汁 橙汁 1L×6瓶,大湖,天津,270,10,N,107,1,orange juice
1025,农夫山泉农夫山泉NFC果汁 17.5° 100%鲜榨橙汁 330ml/瓶 （2件起售）,农夫山泉,杭州,100,6,N,13.8,1,orange juice
1026,大湖100%果汁 橙汁 255ml×12瓶(玻璃瓶),大湖,天津,40,10,N,75,1,orange juice
1027,北冰洋橙汁汽水330ml*6听,北冰洋,中国大陆,290,9,N,28.5,1,orange juice
1028,统一统一 鲜橙多 罐装橙汁 310ML*24罐 整箱装,统一,中国大陆,300,7,N,58,1,orange juice
1029,迪美汁橙汁,迪美汁（DIMES）,土耳其,270,9,N,99,1,orange juice
1030,北冰洋330ml*24听/箱 箱装,北冰洋,中国大陆,160,6,N,115,1,orange juice
1031,泰宝橙汁,泰宝（TIPCO）,中国大陆,230,10,N,26.9,1,orange juice
1032,光明光明 100% 果蔬汁 橙汁 300ml/瓶,光明,中国大陆,300,6,N,6.5,1,orange juice
1033,迪美汁橙汁200ml*9,迪美汁（DIMES）,土耳其,120,6,N,49.9,1,orange juice
